dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,49.062468,190.907248,26.709230,72.770342,-0.804442,-10.554314,0.188818
0.020000,50.490178,191.187733,28.164230,72.750021,-1.016057,-10.580758,0.199152
0.020000,51.914437,191.482834,29.618740,72.725471,-1.227526,-10.573431,0.209453
0.020000,53.335024,191.792441,31.072674,72.696707,-1.438191,-10.533286,0.219716
0.020000,54.751729,192.116436,32.525955,72.664071,-1.631781,-9.679477,0.229935
0.020000,56.164339,192.454684,33.978498,72.627109,-1.848113,-10.816602,0.240105
0.020000,57.572647,192.807042,35.430216,72.585936,-2.058664,-10.527575,0.250220
0.020000,58.976455,193.173357,36.881031,72.540724,-2.260577,-10.095622,0.260275
0.020000,60.375572,193.553465,38.330862,72.491549,-2.458745,-9.908406,0.270264
0.020000,61.769814,193.947193,39.779632,72.438495,-2.652690,-9.697270,0.280182
0.020000,63.159013,194.354360,41.227271,72.381954,-2.827092,-8.720064,0.290025
0.020000,64.543000,194.774775,42.673704,72.321659,-3.014754,-9.383136,0.299788
0.020000,65.921612,195.208238,44.118854,72.257517,-3.207070,-9.615781,0.309465
0.020000,67.294698,195.654542,45.562652,72.189911,-3.380319,-8.662431,0.319052
0.020000,68.662122,196.113474,47.005035,72.119122,-3.539458,-7.956952,0.328545
0.020000,70.023755,196.584816,48.445940,72.045270,-3.692576,-7.655919,0.337939
0.020000,71.379469,197.068340,49.885299,71.967958,-3.865598,-8.651099,0.347230
0.020000,72.729151,197.563813,51.323053,71.887693,-4.013278,-7.384016,0.356414
0.020000,74.072705,198.071002,52.759151,71.804910,-4.139148,-6.293491,0.365487
0.020000,75.410034,198.589664,54.193536,71.719206,-4.285197,-7.302459,0.374446
0.020000,76.741051,199.119556,55.626152,71.630843,-4.418120,-6.646110,0.383288
0.020000,78.065685,199.660430,57.056957,71.540233,-4.530502,-5.619097,0.392009
0.020000,79.383873,200.212036,58.485904,71.447342,-4.644581,-5.703991,0.400605
0.020000,80.695556,200.774121,59.912947,71.352147,-4.759751,-5.758500,0.409075
0.020000,82.000690,201.346431,61.338048,71.255063,-4.854181,-4.721477,0.417416
0.020000,83.299239,201.928712,62.761171,71.156147,-4.945801,-4.581000,0.425624
0.020000,84.591171,202.520705,64.182278,71.055373,-5.038708,-4.645365,0.433698
0.020000,85.876470,203.122156,65.601340,70.953084,-5.114442,-3.786679,0.441636
